,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
0,21st Century Learning Institute,Beaumont Unified,Riverside,18,0,0,0,0,0,0,0.0
1,ABC Secondary (Alternative),ABC Unified,Los Angeles,58,0,0,0,0,0,0,0.0
2,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,0,0,0,0,0,0.0
3,Abraham Lincoln High,San Jose Unified,Santa Clara,463,53,23,22,22,23,34,64.15
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,19,21,20,23,22,11,57.89
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65,33,15,15,17,16,3,9.09
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126,16,18,18,18,17,5,31.25
7,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14,1,7,7,7,7,7,7.0
8,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84,9,7,7,7,7,7,7.0
9,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97,13,7,7,7,7,7,7.0
10,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141,10,7,7,7,7,7,7.0
11,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63,5,7,7,7,7,7,7.0
12,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126,14,7,7,7,7,7,7.0
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,36,29,29,25,25,34,94.44
14,Academy of the Redwoods,Fortuna Union High,Humboldt,47,6,7,7,7,7,7,7.0
15,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19,2,7,7,7,7,7,7.0
16,Acalanes High,Acalanes Union High,Contra Costa,353,99,29,29,28,27,93,93.94
17,Accelerated Charter High,Tulare Joint Union High,Tulare,78,0,0,0,0,0,0,0.0
18,ACE Charter High,East Side Union High,Santa Clara,41,34,14,14,15,15,1,2.94
19,Adelanto High,Victor Valley Union High,San Bernardino,430,28,19,17,18,18,8,28.57
20,Adolfo Camarillo High,Oxnard Union High,Ventura,507,91,23,23,23,22,55,60.44
21,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,138,25,24,24,24,93,67.39
22,Agoura High,Las Virgenes Unified,Los Angeles,459,140,27,26,25,24,114,81.43
23,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382,112,14,14,16,15,7,6.25
24,Alameda Community Learning Center,Alameda Unified,Alameda,31,5,7,7,7,7,7,7.0
25,Alameda High,Alameda Unified,Alameda,463,93,28,27,27,26,85,91.4
26,Alameda Science and Technology Institute,Alameda Unified,Alameda,43,12,7,7,7,7,7,7.0
27,Albany High,Albany City Unified,Alameda,296,58,28,27,27,26,51,87.93
28,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,51,0,0,0,0,0,0,0.0
29,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,139,23,23,21,21,75,53.96
30,Alhambra High,Alhambra Unified,Los Angeles,648,93,24,25,24,23,69,74.19
31,Alhambra Senior High,Martinez Unified,Contra Costa,284,40,25,23,25,23,30,75.0
32,Alisal High,Salinas Union High,Monterey,651,206,18,17,18,18,47,22.82
33,Aliso Niguel High,Capistrano Unified,Orange,749,286,26,27,27,26,254,88.81
34,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61,77,17,16,17,18,12,15.58
35,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123,155,15,14,16,16,13,8.39
36,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141,70,18,20,19,18,19,27.14
37,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101,80,16,16,18,17,14,17.5
38,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123,8,7,7,7,7,7,7.0
39,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138,162,16,16,17,17,24,14.81
40,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128,155,18,18,18,18,40,25.81
41,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141,157,19,18,19,19,48,30.57
42,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114,139,17,16,16,16,19,13.67
43,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73,86,15,13,16,16,7,8.14
44,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130,148,15,14,16,16,16,10.81
45,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131,164,16,14,17,16,18,10.98
46,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105,143,15,13,15,15,4,2.8
47,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131,147,16,14,16,16,12,8.16
48,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137,14,7,7,7,7,7,7.0
49,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59,110,17,16,18,17,24,21.82
50,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89,89,15,14,16,16,10,11.24
51,Alpaugh -Senior High,Alpaugh Unified,Tulare,24,0,0,0,0,0,0,0.0
52,Alpha Cindy Avitia High,East Side Union High,Santa Clara,89,0,0,0,0,0,0,0.0
53,Alta Loma High,Chaffey Joint Union High,San Bernardino,634,56,23,22,22,22,34,60.71
54,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,61,8,7,7,7,7,7,7.0
55,Alta Vista Innovation High,Lucerne Valley Unified,San Bernardino,190,0,0,0,0,0,0,0.0
56,Alternatives in Action,Alameda Unified,Alameda,53,0,0,0,0,0,0,0.0
57,Amador High,Amador County Unified,Amador,154,17,25,25,25,24,16,94.12
58,Amador Valley High,Pleasanton Unified,Alameda,654,280,29,29,28,28,258,92.14
