,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
0,Colusa Alternative Home,Colusa Unified,Colusa,18,0,18,0,0.0,0.0,0.0,0.0
1,Maxwell Sr High,Maxwell Unified,Colusa,29,10,26,6,7.0,7.0,7.0,7.0
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,219,174,14.0,13.73,11.0,6.32
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,333,275,18.0,15.93,35.0,12.73
4,Whitman Continuation,Los Angeles Unified,Los Angeles,18,14,17,5,7.0,7.0,7.0,7.0
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,187,183,36.0,33.96,44.0,24.04
6,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,503,223,132.0,69.47,172.0,77.13
7,Abraham Lincoln Continuation,Riverside Unified,Riverside,114,17,83,0,2.0,11.76,0.0,0.0
8,Calipatria High,Calipatria Unified,Imperial,91,27,92,11,5.0,18.52,7.0,7.0
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,79,79,6.0,8.82,6.0,7.59
10,Corona High,Corona-Norco Unified,Riverside,581,204,572,168,82.0,40.2,78.0,46.43
11,Mojave River Academy,Oro Grande,San Bernardino,7,1,3,0,7.0,7.0,0.0,0.0
12,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,27,0,0.0,0.0,0.0,0.0
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,163,122,29.0,42.65,36.0,29.51
14,Central High,Los Angeles Unified,Los Angeles,104,4,156,18,7.0,7.0,1.0,5.56
15,Palo Verde High,Palo Verde Unified,Riverside,174,38,207,56,12.0,31.58,19.0,33.93
16,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36,7,57,8,7.0,7.0,7.0,7.0
17,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,509,226,67.0,36.02,86.0,38.05
18,The O'Farrell Charter,San Diego Unified,San Diego,125,64,127,114,28.0,43.75,47.0,41.23
19,Enterprise Alternative,Clovis Unified,Fresno,18,0,15,0,0.0,0.0,0.0,0.0
20,Clovis East High,Clovis Unified,Fresno,584,237,635,191,94.0,39.66,128.0,67.02
21,Rivercrest Preparatory,Jurupa Unified,Riverside,31,1,33,2,7.0,7.0,7.0,7.0
22,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,546,108,39.0,20.31,41.0,37.96
23,University High School Charter,Los Angeles Unified,Los Angeles,336,193,307,315,76.0,39.38,110.0,34.92
24,City of Angels,Los Angeles Unified,Los Angeles,292,23,352,83,7.0,30.43,16.0,19.28
25,New West Charter,SBE - New West Charter,Los Angeles,90,47,91,41,32.0,68.09,32.0,78.05
26,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,560,285,215.0,79.93,250.0,87.72
27,Nevada Union High,Nevada Joint Union High,Nevada,353,89,380,89,62.0,69.66,77.0,86.52
28,University High,Irvine Unified,Orange,633,205,551,268,179.0,87.32,259.0,96.64
29,Westmoor High,Jefferson Union High,San Mateo,395,344,383,74,153.0,44.48,69.0,93.24
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,291,54,58.0,23.29,31.0,57.41
31,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50,13,42,13,7.0,7.0,7.0,7.0
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,686,637,46.0,27.71,107.0,16.8
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,83,377,299,8.0,9.64,20.0,6.69
34,Paramount High,Paramount Unified,Los Angeles,1135,932,1196,1058,158.0,16.95,165.0,15.6
35,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42,2,36,14,7.0,7.0,7.0,7.0
36,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78,0,183,1,0.0,0.0,7.0,7.0
37,Mills High,San Mateo Union High,San Mateo,299,147,309,157,126.0,85.71,140.0,89.17
38,South San Francisco High,South San Francisco Unified,San Mateo,292,86,336,56,51.0,59.3,40.0,71.43
39,Granada High,Livermore Valley Joint Unified,Alameda,567,178,565,208,132.0,74.16,188.0,90.38
40,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,3,15,2,7.0,7.0,7.0,7.0
41,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,17,38,17,6.0,35.29,5.0,29.41
42,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,20,1,16,0,7.0,7.0,0.0,0.0
43,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64,0,33,1,0.0,0.0,7.0,7.0
44,Lowell High,San Francisco Unified,San Francisco,678,423,711,565,385.0,91.02,543.0,96.11
45,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60,0,0,0,0.0,0.0,0.0,0.0
